formula,AIC,BIC
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),2637.647112,2676.427745
log(response_time) ~ domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),2675.127375,2713.908007
log(response_time) ~ domain + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),2641.026459,2679.807091
log(response_time) ~ domain + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),2691.628397,2730.409029
log(response_time) ~ domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2939.181599,2977.962231
log(response_time) ~ domain + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),3638.614665,3677.395297
log(response_time) ~ domain + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2972.356953,3011.137585
log(response_time) ~ domain + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2960.818520,2999.599152
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),2596.108930,2640.429652
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),2658.512239,2702.832962
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),2620.907614,2665.228337
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),2657.419997,2701.740720
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),2623.068500,2667.389222
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),2628.205879,2672.526602
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2927.829511,2972.150233
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),3625.093032,3669.413754
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2950.310462,2994.631185
log(response_time) ~ domain + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2944.931274,2989.251996
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2607.995213,2652.315935
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),2608.516771,2652.837494
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2639.326494,2683.647217
log(response_time) ~ domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2642.083565,2686.404288
log(response_time) ~ domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2941.181435,2985.502158
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2597.494366,2647.355179
