formula,AIC,BIC
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15235.512230,15285.373043
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15234.881059,15284.741872
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15512.762989,15562.623802
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15221.900787,15271.761600
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15217.305666,15272.706569
response_time ~ session_num + (1|id),16093.723029,16115.883391
response_time ~ session_num + (1|stimulus),15407.000360,15429.160721
response_time ~ session_num + (1|id:domain),16058.587840,16080.748201
response_time ~ session_num + (1|id:condition),16108.007136,16130.167497
response_time ~ session_num + (1|stimulus:condition),15683.713190,15705.873551
response_time ~ session_num + (1|id:domain:condition),16111.113079,16133.273440
response_time ~ session_num + (1|id) + (1|stimulus),15252.579223,15280.279674
response_time ~ session_num + (1|id) + (1|id:domain),16056.655162,16084.355614
response_time ~ session_num + (1|id) + (1|id:condition),16092.999907,16120.700358
response_time ~ session_num + (1|id) + (1|stimulus:condition),15550.428775,15578.129227
response_time ~ session_num + (1|id) + (1|id:domain:condition),16082.206729,16109.907180
response_time ~ session_num + (1|stimulus) + (1|id:domain),15233.740972,15261.441423
response_time ~ session_num + (1|stimulus) + (1|id:condition),15254.429621,15282.130073
response_time ~ session_num + (1|stimulus) + (1|stimulus:condition),15409.000360,15436.700812
response_time ~ session_num + (1|stimulus) + (1|id:domain:condition),15276.233580,15303.934031
response_time ~ session_num + (1|id:domain) + (1|id:condition),16056.514143,16084.214595
response_time ~ session_num + (1|id:domain) + (1|stimulus:condition),15539.105644,15566.806096
response_time ~ session_num + (1|id:domain) + (1|id:domain:condition),16060.587840,16088.288291
response_time ~ session_num + (1|id:condition) + (1|stimulus:condition),15550.195309,15577.895761
response_time ~ session_num + (1|id:condition) + (1|id:domain:condition),16099.963273,16127.663724
response_time ~ session_num + (1|stimulus:condition) + (1|id:domain:condition),15577.106441,15604.806893
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain),15224.323330,15257.563872
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:condition),15239.179443,15272.419985
response_time ~ session_num + (1|id) + (1|stimulus) + (1|stimulus:condition),15254.555172,15287.795714
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain:condition),15229.580479,15262.821021
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:condition),16055.456040,16088.696582
response_time ~ session_num + (1|id) + (1|id:domain) + (1|stimulus:condition),15531.030635,15564.271177
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:domain:condition),16058.655162,16091.895704
response_time ~ session_num + (1|id) + (1|id:condition) + (1|stimulus:condition),15537.369865,15570.610406
response_time ~ session_num + (1|id) + (1|id:condition) + (1|id:domain:condition),16084.206729,16117.447271
response_time ~ session_num + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),15534.532781,15567.773323
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition),15215.338589,15248.579131
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),15235.740972,15268.981514
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),15230.431854,15263.672396
response_time ~ session_num + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),15256.305281,15289.545823
response_time ~ session_num + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),15245.596658,15278.837200
response_time ~ session_num + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),15278.233580,15311.474122
response_time ~ session_num + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15521.165941,15554.406483
response_time ~ session_num + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),16058.514143,16091.754685
response_time ~ session_num + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15536.604548,15569.845090
response_time ~ session_num + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15546.708551,15579.949093
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),15209.324626,15248.105258
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),15226.323330,15265.103963
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),15221.041557,15259.822189
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),15241.075817,15279.856449
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),15229.778073,15268.558705
response_time ~ session_num + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),15231.580479,15270.361112
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15516.602829,15555.383461
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),16057.456040,16096.236672
response_time ~ session_num + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15528.586843,15567.367476
response_time ~ session_num + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15533.486659,15572.267291
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15217.338589,15256.119221
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),15217.338589,15256.119221
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15232.431854,15271.212487
response_time ~ session_num + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15247.596658,15286.377290
response_time ~ session_num + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15523.165953,15561.946585
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15211.324627,15255.645349
