formula,AIC,BIC
log(response_time) ~ session_num + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),1420.205208,1448.605619
log(response_time) ~ session_num + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1408.854432,1437.254843
log(response_time) ~ session_num + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1475.957034,1504.357446
log(response_time) ~ session_num + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1405.655169,1434.055580
log(response_time) ~ session_num + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1493.340705,1521.741117
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),1362.409145,1395.542958
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),1364.150543,1397.284356
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),1359.784926,1392.918739
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),1446.026487,1479.160300
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),1406.949438,1440.083251
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),1405.882718,1439.016531
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1410.854432,1443.988245
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1477.957034,1511.090848
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1407.655169,1440.788982
log(response_time) ~ session_num + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1495.267652,1528.401465
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1361.671722,1394.805535
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1359.783654,1392.917467
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1358.715760,1391.849573
log(response_time) ~ session_num + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1421.881904,1455.015717
log(response_time) ~ session_num + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1407.655169,1440.788982
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),1363.671722,1401.538937
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),1361.784926,1399.652141
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),1360.715760,1398.582975
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1407.882717,1445.749932
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1409.655169,1447.522384
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1360.715760,1398.582975
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),1362.715760,1405.316377
log(response_time) ~ condition + domain + (1|id),1480.786989,1509.187400
log(response_time) ~ condition + domain + (1|stimulus),1494.491751,1522.892162
log(response_time) ~ condition + domain + (1|id:domain),1448.569368,1476.969779
log(response_time) ~ condition + domain + (1|id:condition),1489.062249,1517.462660
log(response_time) ~ condition + domain + (1|stimulus:condition),1533.428670,1561.829081
log(response_time) ~ condition + domain + (1|id:domain:condition),1468.163489,1496.563901
log(response_time) ~ condition + domain + (1|id) + (1|stimulus),1390.797731,1423.931544
log(response_time) ~ condition + domain + (1|id) + (1|id:domain),1449.028778,1482.162591
log(response_time) ~ condition + domain + (1|id) + (1|id:condition),1476.537474,1509.671287
log(response_time) ~ condition + domain + (1|id) + (1|stimulus:condition),1439.342758,1472.476571
log(response_time) ~ condition + domain + (1|id) + (1|id:domain:condition),1452.677801,1485.811614
log(response_time) ~ condition + domain + (1|stimulus) + (1|id:domain),1343.951630,1377.085444
log(response_time) ~ condition + domain + (1|stimulus) + (1|id:condition),1398.459611,1431.593424
log(response_time) ~ condition + domain + (1|stimulus) + (1|stimulus:condition),1496.491751,1529.625564
log(response_time) ~ condition + domain + (1|stimulus) + (1|id:domain:condition),1361.141008,1394.274821
log(response_time) ~ condition + domain + (1|id:domain) + (1|id:condition),1441.644869,1474.778682
log(response_time) ~ condition + domain + (1|id:domain) + (1|stimulus:condition),1395.556478,1428.690291
log(response_time) ~ condition + domain + (1|id:domain) + (1|id:domain:condition),1443.506324,1476.640137
log(response_time) ~ condition + domain + (1|id:condition) + (1|stimulus:condition),1444.258315,1477.392128
log(response_time) ~ condition + domain + (1|id:condition) + (1|id:domain:condition),1466.381573,1499.515387
log(response_time) ~ condition + domain + (1|stimulus:condition) + (1|id:domain:condition),1406.763711,1439.897524
log(response_time) ~ condition + domain + (1|id) + (1|stimulus) + (1|id:domain),1344.411314,1382.278529
log(response_time) ~ condition + domain + (1|id) + (1|stimulus) + (1|id:condition),1384.369167,1422.236382
