formula,AIC,BIC
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6553.108226,6595.708843
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6552.594074,6595.194691
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6552.638817,6595.239434
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6589.425727,6632.026344
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6594.025138,6636.625755
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6552.594074,6595.194691
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6554.594074,6601.928093
response_time ~ domain + (1|id),6614.079094,6633.012701
response_time ~ domain + (1|stimulus),6607.214299,6626.147906
response_time ~ domain + (1|id:domain),6579.936040,6598.869647
response_time ~ domain + (1|id:condition),6622.188870,6641.122478
response_time ~ domain + (1|stimulus:condition),6643.211703,6662.145311
response_time ~ domain + (1|id:domain:condition),6599.447722,6618.381330
response_time ~ domain + (1|id) + (1|stimulus),6563.627144,6587.294154
response_time ~ domain + (1|id) + (1|id:domain),6581.935925,6605.602934
response_time ~ domain + (1|id) + (1|id:condition),6614.341845,6638.008855
response_time ~ domain + (1|id) + (1|stimulus:condition),6601.231815,6624.898825
response_time ~ domain + (1|id) + (1|id:domain:condition),6594.775063,6618.442073
response_time ~ domain + (1|stimulus) + (1|id:domain),6520.285478,6543.952487
response_time ~ domain + (1|stimulus) + (1|id:condition),6572.790671,6596.457681
response_time ~ domain + (1|stimulus) + (1|stimulus:condition),6609.214299,6632.881308
response_time ~ domain + (1|stimulus) + (1|id:domain:condition),6542.367531,6566.034540
response_time ~ domain + (1|id:domain) + (1|id:condition),6580.135004,6603.802013
response_time ~ domain + (1|id:domain) + (1|stimulus:condition),6559.410668,6583.077677
response_time ~ domain + (1|id:domain) + (1|id:domain:condition),6580.206556,6603.873566
response_time ~ domain + (1|id:condition) + (1|stimulus:condition),6610.109699,6633.776708
response_time ~ domain + (1|id:condition) + (1|id:domain:condition),6601.403925,6625.070935
response_time ~ domain + (1|stimulus:condition) + (1|id:domain:condition),6579.748880,6603.415889
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain),6522.285232,6550.685643
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:condition),6563.621832,6592.022244
response_time ~ domain + (1|id) + (1|stimulus) + (1|stimulus:condition),6565.627144,6594.027556
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain:condition),6537.114288,6565.514699
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:condition),6582.135004,6610.535415
response_time ~ domain + (1|id) + (1|id:domain) + (1|stimulus:condition),6561.409937,6589.810348
